name,experience,salary,region
Backend разработчик (Python),От 1 года до 3 лет,60000 RUR,Москва
Разработчик Frontend (JS/TS) в R&D почтового сервера RuPost.,От 1 года до 3 лет,Не указана,Москва
"Backend-разработчик, Python",Нет опыта,Не указана,Белгород
QA-Тестировщик,От 1 года до 3 лет,Не указана,Москва
Разработчик Python (Junior+/Middle),От 1 года до 3 лет,Не указана,Москва
Разработчик Python (Junior),От 1 года до 3 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,Не указана,Москва
Начинающий Программист,От 1 года до 3 лет,40000 RUR,Чебоксары
Тестировщик (QA инженер),От 3 до 6 лет,100000 RUR,Москва
Junior frontend developer (Новосибирск),Нет опыта,40000 RUR,Новосибирск
Ruby on Rails Developer Job Description Template,От 1 года до 3 лет,100000 RUR,Москва
Frontend-разработчик,От 3 до 6 лет,Не указана,Москва
Системный администратор,От 1 года до 3 лет,40000 RUR,Москва
Стажёр в группу RnD (Research and Development),Нет опыта,Не указана,Санкт-Петербург
Junior+/Middle Full-stack Developer,От 1 года до 3 лет,Не указана,Ростов-на-Дону
Junior Quantitative Researcher,Нет опыта,150000 RUR,Москва
AI-разработчик junior (удаленно),Нет опыта,30000 RUR,Красноярск
Стажер QA,Нет опыта,30000 RUR,Москва
Директор проектов,Более 6 лет,Не указана,Москва
Python разработчик (Команда MXDR),От 1 года до 3 лет,Не указана,Москва
Технический директор,Более 6 лет,Не указана,Москва
Верстальщик,От 1 года до 3 лет,None RUR,Санкт-Петербург
Разработчик Python,Нет опыта,30000 RUR,Ростов-на-Дону
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Junior Low-code (Python) developer,Нет опыта,Не указана,Санкт-Петербург
Python developer,От 3 до 6 лет,Не указана,Москва
Аналитик,От 1 года до 3 лет,100000 RUR,Уфа
Analytics and Consulting Intern,Нет опыта,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,80000 RUR,Томск
Python-разработчик,От 1 года до 3 лет,60000 RUR,Челябинск
Программист-разработчик,Нет опыта,100000 RUR,Москва
Backend разработчик,От 1 года до 3 лет,75000 RUR,Барнаул
Backend разработчик (Python),От 3 до 6 лет,Не указана,Новосибирск
Программист Python,От 1 года до 3 лет,10000 RUR,Тольятти
Тестировщик ПО,От 3 до 6 лет,Не указана,Москва
"Julia Developer в команду инженерного софта (Lisp, Haskell, Python)",От 1 года до 3 лет,Не указана,Москва
Стажер-разработчик Big Data,Нет опыта,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Москва
Программист Python (веб и мобильные проекты),От 1 года до 3 лет,55000 RUR,Волгоград
Middle Python Backend Developer,От 1 года до 3 лет,180000 RUR,Москва
Junior Python Odoo Framework разработчик,Нет опыта,None RUR,Казань
Инженер-программист,Нет опыта,70000 RUR,Уфа
Backend разработчик Python,От 1 года до 3 лет,Не указана,Москва
"Разработчик Telegram ботов (Python+HTML+CSS), удаленно",От 1 года до 3 лет,60000 RUR,Москва
Аналитик,От 3 до 6 лет,100000 RUR,Нижний Новгород
Junior Python разработчик,От 1 года до 3 лет,Не указана,Москва
Python-разработчик (уровень middle),От 3 до 6 лет,Не указана,Москва
Младший бизнес-аналитик в домен Бэк-офис (стажер),Нет опыта,35000 RUR,Москва
Python Developer,От 1 года до 3 лет,Не указана,Казань
"Backend-разработчик (Python, FastAPI, PostgreSQL)",От 1 года до 3 лет,60000 RUR,Иркутск
Python разработчик/Python Developer (Продукт: ПАК),Нет опыта,Не указана,Москва
Backend Разработчик,От 1 года до 3 лет,50000 RUR,Ярославль
Python-разработчик,От 3 до 6 лет,110000 RUR,Пермь
Junior PHP Developer,От 1 года до 3 лет,80000 RUR,Санкт-Петербург
Программист разработчик,Нет опыта,25000 RUR,Ижевск
Младший аналитик (IT),Нет опыта,100000 RUR,Москва
Программист хранилища данных (Junior),Нет опыта,70000 RUR,Владивосток
